x,y
1,1572444
2,1603892.88
3,1635970.738
4,1668690.152
5,1702063.955
6,1736105.235
7,1770827.339
8,1806243.886
9,1842368.764
10,1879216.139
11,1916800.462
12,1955136.471
13,1994239.2
14,2034123.984
15,2074806.464
16,2116302.593
17,2158628.645
18,2201801.218
19,2245837.243
20,2290753.987
1,-1280605.52
2,-1301882.51
3,-1326178.901
4,-1350961.219
5,-1376239.183
6,-1402022.707
7,-1428321.901
8,-1455147.079
9,-1482508.76
10,-1510417.676
11,-1538884.769
12,-1567921.204
13,-1644050.369
14,-1674259.876
15,-1705073.573
16,-1736503.545
17,-1768562.116
18,-1801261.858
19,-1834615.595
20,-1868636.407
